"soilTypeId";"soilTypeCode";"soilType";"soilTypeLabel"
"670";"TC_N";"NormKalktschernosem";"    NormKalktschernosem"
"671";"TT";"Tschernosem";"  Tschernosem"
"672";"TT_N";"Normtschernosem";"    Normtschernosem"
"673";"TTDD";"schernosem-Pelosol";"    schernosem-Pelosol"
"674";"TTGG";"Tschernosem-Gley";"    Tschernosem-Gley"
"675";"TTLL";"Tschernosem-Parabraunerde";"    Tschernosem-Parabraunerde"
"676";"TTSS";"Tschernosem-Pseudogley";"    Tschernosem-Pseudogley"
"677";"UE";"Strandböden";"Strandböden"
"678";"UEA";"Strand";"    Strand"
"679";"UEA_B";"Brackstrand";"    Brackstrand"
"680";"UEA_F";"Flussstrand";"    Flussstrand"
"681";"UEA_N";"Normstrand";"    Normstrand"
"682";"V";"Fersiallitische / Ferrallitische Paläoböden";"Fersiallitische / Ferrallitische Paläoböden"
"683";"VV";"Fersiallit";"  Fersiallit"
"684";"VW";"Ferrallit";"  Ferrallit"
"685";"X";"Reduktosole";"Reduktosole"
"686";"XX";"Reduktosol";"  Reduktosol"
"687";"XX_N";"Normreduktosol";"    Normreduktosol"
"688";"XX_T";"Rohreduktosol";"    Rohreduktosol"
"689";"XX_U";"Fahlreduktosol";"    Fahlreduktosol"
"690";"XX_X";"Ockerreduktosol";"    Ockerreduktosol"
"691";"Y";"Terrestrische Anthropogene Böden";"Terrestrische Anthropogene Böden"
"692";"YE";"Plaggenesch";"  Plaggenesch"
"693";"YE_N";"Normplaggenesch";"    Normplaggenesch"
"694";"YEGG";"Plaggenesch-Gley";"    Plaggenesch-Gley"
"695";"YEPP";"Plaggenesch-Podsol";"    Plaggenesch-Podsol"
"696";"YESS";"Plaggenesch-Pseudogley";"    Plaggenesch-Pseudogley"
"697";"YK";"Kolluvisol";"  Kolluvisol"
"698";"YK_N";"Normkolluvisol";"    Normkolluvisol"
"699";"YKGG";"Kolluvisol-Gley";"    Kolluvisol-Gley"
"700";"YKPP";"Kolluvisol-Podsol";"    Kolluvisol-Podsol"
"701";"YKSS";"Kolluvisol-Pseudogley";"    Kolluvisol-Pseudogley"
"702";"YO";"Hortisol";"  Hortisol"
"703";"YO_N";"Normhortisol";"    Normhortisol"
"704";"YOBB";"Hortisol-Braunerde";"    Hortisol-Braunerde"
"705";"YU";"Treposol";"  Treposol"
"706";"YY";"Rigosol";"  Rigosol"
"707";"YY_N";"Normrigosol";"    Normrigosol"
"708";"YYAB";"Rigosol-Vega";"    Rigosol-Vega"
"709";"YYBB";"Rigosol-Braunerde";"    Rigosol-Braunerde"
"710";"YYLL";"Rigosol-Parabraunerde";"    Rigosol-Parabraunerde"
"711";"YYRZ";"Rigosol-Pararendzina";"    Rigosol-Pararendzina"
