plantCombinationName;;plantCombinationRank;plantCombinationList
Epilobium lanceolatum-Galeopsis ladanum-Gesellschaft;;ASS;        Epilobium lanceolatum-Galeopsis ladanum-Gesellschaft
Arabidetalia caeruleae;Rübel ex Br.-Bl. 1948;ORD;    Arabidetalia caeruleae
Arabidion caeruleae;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Arabidion caeruleae
Salicetum retuso-reticulatae;Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Salicetum retuso-reticulatae
Arabidetum caeruleae;Br.-Bl. 1918;ASS;        Arabidetum caeruleae
Arabido-Rumicetum nivalis;(Jenny-Lips 1930) Oberd. 1957 nom. invers. propos.;ASS;        Arabido-Rumicetum nivalis
Soldanella pusilla-Homogyne discolor-Gesellschaft;;ASS;        Soldanella pusilla-Homogyne discolor-Gesellschaft
III. Therophytenreiche Pioniervegetation (mit Ausnahme des unmittelbaren Küstenbereiches);;FOR;III. Therophytenreiche Pioniervegetation (mit Ausnahme des unmittelbaren Küstenbereiches)
Stellarietea mediae;Tx. et al. ex von Rochow 1951;KLA;  Stellarietea mediae
Secalietalia;Br.-Bl. 1936;ORD;    Secalietalia
Veronico-Euphorbion;Sissingh ex Passarge 1964;VRB;      Veronico-Euphorbion
Mercurialetum annuae;Kruseman et Vlieger 1939;ASS;        Mercurialetum annuae
Thlaspio-Fumarietum officinalis;Görs in Oberd. et al. 1967 ex Passarge et Jurko 1975;ASS;        Thlaspio-Fumarietum officinalis
Geranio-Allietum vinealis;Tx. ex von Rochow 1951;ASS;        Geranio-Allietum vinealis
Caucalidion platycarpi;Tx. ex von Rochow 1951;VRB;      Caucalidion platycarpi
Caucalido daucoidis-Scandicetum pecten-veneris;Tx. 1937;ASS;        Caucalido daucoidis-Scandicetum pecten-veneris
Euphorbio exiguae-Melandrietum noctiflori;G. Müller 1964;ASS;        Euphorbio exiguae-Melandrietum noctiflori
Kickxietum spuriae;Kruseman et Vlieger 1939;ASS;        Kickxietum spuriae
Adonido-Iberidetum amarae;(Allorge 1922) Tx. 1950 nom. invalid.;ASS;        Adonido-Iberidetum amarae
Aperetalia spicae-venti;J. Tx. et R. Tx. in Malato-Beliz et al. 1960;ORD;    Aperetalia spicae-venti
Aphanion arvensis;J. Tx. et R. Tx. in Malato-Beliz et al. 1960;VRB;      Aphanion arvensis
Sclerantho-Arnoseridetum minimae;Tx. 1937;ASS;        Sclerantho-Arnoseridetum minimae
Papaveretum argemones;Kruseman et Vlieger 1939;ASS;        Papaveretum argemones
Aphano-Matricarietum chamomillae;Tx. 1937 nom. mutat. propos.;ASS;        Aphano-Matricarietum chamomillae
Myosuro-Alopecuretum;Nezadal 1972;ZEH;          Myosuro-Alopecuretum
Holco-Galeopsietum;Hilbig 1967;ASS;        Holco-Galeopsietum
Galeopsis segetum-Scleranthus annuus-Gesellschaft;;ASS;        Galeopsis segetum-Scleranthus annuus-Gesellschaft
Panico-Setarion;Sissingh in Westhoff et al. 1946;VRB;      Panico-Setarion
Spergulo-Chrysanthemetum segetum;Br.-Bl. et De Leeuw ex Tx. 1937;ASS;        Spergulo-Chrysanthemetum segetum
Setario-Galinsogetum parviflorae;Tx. 1950 nom. invalid.;ASS;        Setario-Galinsogetum parviflorae
Digitarietum ischaemi;Tx. 1950 nom. invalid. et nom. mutat. propos.;ASS;        Digitarietum ischaemi
Spergulo-Oxalidion;Görs in Oberd. et al. 1967 nom. invalid.;VRB;      Spergulo-Oxalidion
Chenopodio-Oxalidetum fontanae;Sissingh 1950 nom. conserv. propos.;ASS;        Chenopodio-Oxalidetum fontanae
Lolio remoti-Linetalia;J. Tx. et R. Tx. in Lohmeyer et al. 1962;ORD;    Lolio remoti-Linetalia
Lolio remoti-Linion;Tx. 1950 nom. invalid.;VRB;      Lolio remoti-Linion
Sileno linicolae-Linetum;Tx. ex Oberd. 1957;ASS;        Sileno linicolae-Linetum
Eragrostietalia;J. Tx. ex Poli 1966;ORD;    Eragrostietalia
Eragrostion minoris;Tx. in Slavnic 1944;VRB;      Eragrostion minoris
Digitario-Eragrostietum;Tx. ex von Rochow 1951;ASS;        Digitario-Eragrostietum
Sisymbrietea;Korneck 1974;KLA;  Sisymbrietea
Sisymbrietalia;J. Tx. ex Görs 1966 nom. conserv. propos.;ORD;    Sisymbrietalia
Sisymbrion officinalis;Tx. et al. ex von Rochow 1951 nom. conserv. propos.;VRB;      Sisymbrion officinalis
Sisymbrion officinalis-Basalgesellschaft;;ASS;        Sisymbrion officinalis-Basalgesellschaft
Hordeetum murini;Libbert 1932;ASS;        Hordeetum murini
Hyoscyamo nigri-Malvetum neglectae;Aichinger 1933;ASS;        Hyoscyamo nigri-Malvetum neglectae
Malvo neglectae-Chenopodietum vulvariae;Gutte 1966;ASS;        Malvo neglectae-Chenopodietum vulvariae
Malvetum pusillae;Morariu 1943;ASS;        Malvetum pusillae
Erigeronto-Lactucetum serriolae;Lohmeyer in Oberd. 1957;ASS;        Erigeronto-Lactucetum serriolae
Sisymbrietum sophiae;Kreh 1935;ASS;        Sisymbrietum sophiae
Elymo repentis-Sisymbrietum loeselii;Mucina 1993;ZEH;          Elymo repentis-Sisymbrietum loeselii
Chenopodietum stricti;(Oberd. 1957) Passarge 1964;ASS;        Chenopodietum stricti
Sisymbrio-Atriplicetum nitentis;Oberd. ex Mahn et R. Schubert 1962;ASS;        Sisymbrio-Atriplicetum nitentis
Sisymbrio-Atriplicetum oblongifoliae;Oberd. 1957;ASS;        Sisymbrio-Atriplicetum oblongifoliae
Sisymbrio-Asperuginetum;Rebholz 1931;ASS;        Sisymbrio-Asperuginetum
Lappulo deflexae-Chenopodietum foliosi;Bernátová 1986;ASS;        Lappulo deflexae-Chenopodietum foliosi
Cynodonto-Atriplicetum tataricae;Morariu 1943;ASS;        Cynodonto-Atriplicetum tataricae
Chenopodion muralis;Br.-Bl. 1931;VRB;      Chenopodion muralis
Chenopodietum muralis;Br.-Bl. et Maire 1924;ASS;        Chenopodietum muralis
Salsolion ruthenicae;Philippi 1971;VRB;      Salsolion ruthenicae
Salsolion ruthenicae-Basalgesellschaft;;ASS;        Salsolion ruthenicae-Basalgesellschaft
Bromo tectorum-Corispermetum leptopteri;Sissingh et Westhoff ex Sissingh 1950 corr. Dengler 2000;ASS;        Bromo tectorum-Corispermetum leptopteri
Plantagini indicae-Senecionetum viscosi;Eliác 1986;ASS;        Plantagini indicae-Senecionetum viscosi
Kochietum densiflorae;Gutte et Klotz 1985;ASS;        Kochietum densiflorae
Bidentetea tripartitae;Tx. et al. ex von Rochow 1951;KLA;  Bidentetea tripartitae
Bidentetea tripartitae-Basalgesellschaft;;ASS;        Bidentetea tripartitae-Basalgesellschaft
Bidentetalia tripartitae;Br.-Bl. et Tx. ex Klika et Hadac 1944;ORD;    Bidentetalia tripartitae
Bidention tripartitae;Nordhagen 1940;VRB;      Bidention tripartitae
Bidention tripartitae-Basalgesellschaft;;ASS;        Bidention tripartitae-Basalgesellschaft
